Series ID,Assigned name,Tooltip,units,frequency
commind_business_park_planned_others,Business Park Space Pipeline (Planned: Other),Planned business park space that is still early-stage. A larger pipeline can increase future supply pressure if take-up slows.,K Sqm Gross,Q
commind_business_park_planned_provisional_permission,Business Park Space Pipeline (Planned: Provisional Permission),Planned business park space with provisional planning approval. Rising volumes can add future supply and weigh on rents if demand softens.,K Sqm Gross,Q
commind_business_park_planned_written_permission,Business Park Space Pipeline (Planned: Written Permission),Planned business park space with written planning approval. Higher levels signal more committed future supply and potential leasing competition.,K Sqm Gross,Q
commind_business_park_total,Business Park Space Pipeline (Total),Total business park pipeline across planning stages. Useful for gauging forthcoming supply and the risk of overhang.,K Sqm Gross,Q
commind_business_park_under_construction,Business Park Space Pipeline (Under Construction),Business park space currently being built. A rising under-construction stock can increase near-term completion and leasing competition.,K Sqm Gross,Q
commind_office_planned_others,Office Space Pipeline (Planned: Other),Planned office space that is still early-stage. A larger pipeline can raise future supply risk if absorption weakens.,K Sqm Gross,Q
commind_office_planned_provisional_permission,Office Space Pipeline (Planned: Provisional Permission),Planned office space with provisional planning approval. Higher levels can translate into more deliverable supply over time.,K Sqm Gross,Q
commind_office_planned_written_permission,Office Space Pipeline (Planned: Written Permission),Planned office space with written planning approval. Indicates a more advanced pipeline and potential future supply pressure.,K Sqm Gross,Q
commind_office_total,Office Space Pipeline (Total),Total office pipeline across planning stages. Signals future supply and potential impact on vacancy and rents.,K Sqm Gross,Q
commind_office_under_construction,Office Space Pipeline (Under Construction),Office space currently being built. Rising levels can increase near-term completions and raise vacancy risk if leasing demand slows.,K Sqm Gross,Q
commind_retail_planned_others,Retail Space Pipeline (Planned: Other),Planned retail space that is still early-stage. A larger pipeline can increase overhang risk if retail leasing demand weakens.,K Sqm Gross,Q
commind_retail_planned_provisional_permission,Retail Space Pipeline (Planned: Provisional Permission),Planned retail space with provisional planning approval. Higher levels can add to future supply and weigh on rents if take-up is slow.,K Sqm Gross,Q
commind_retail_planned_written_permission,Retail Space Pipeline (Planned: Written Permission),Planned retail space with written planning approval. Indicates more committed future supply and potential leasing competition.,K Sqm Gross,Q
commind_retail_total,Retail Space Pipeline (Total),Total retail pipeline across planning stages. Helps assess future supply pressure and potential vacancy/rent risk.,K Sqm Gross,Q
commind_retail_under_construction,Retail Space Pipeline (Under Construction),Retail space currently being built. More completions can pressure occupancy and rents if demand does not keep pace.,K Sqm Gross,Q
industrial_pipeline_others,Industrial Space Pipeline (Planned: Other),Planned industrial space at an early stage. Growth can signal more future supply and potential competitive pressure on rents.,K Sqm Gross,Q
industrial_pipeline_provisional_permission,Industrial Space Pipeline (Planned: Provisional Permission),Planned industrial space with provisional planning approval. Higher levels can point to a larger future delivery pipeline.,K Sqm Gross,Q
industrial_pipeline_total,Industrial Space Pipeline (Total),Total industrial pipeline across planning stages. Tracks future supply risk and potential overhang.,K Sqm Gross,Q
industrial_pipeline_under_construction,Industrial Space Pipeline (Under Construction),Industrial space currently being built. Rising levels can increase near-term completions and vacancy risk if demand slows.,K Sqm Gross,Q
industrial_pipeline_written_permission,Industrial Space Pipeline (Planned: Written Permission),Planned industrial space with written planning approval. Signals a more committed pipeline and higher likelihood of future supply.,K Sqm Gross,Q
prp_pipeline_non_landed_planned_others,Private Residential (Non-Landed) Pipeline (Planned: Other),Early-stage non-landed private residential pipeline. Larger values can increase future housing supply and competitive pressure.,Units,Q
prp_pipeline_non_landed_planned_provisional_permission,Private Residential (Non-Landed) Pipeline (Planned: Provisional Permission),Non-landed private residential pipeline with provisional planning approval. Rising levels can add to future supply and increase overhang risk.,Units,Q
prp_pipeline_non_landed_planned_written_permission,Private Residential (Non-Landed) Pipeline (Planned: Written Permission),Non-landed private residential pipeline with written planning approval. Indicates a more advanced pipeline and greater likelihood of delivery.,Units,Q
prp_pipeline_non_landed_under_construction,Private Residential (Non-Landed) Pipeline (Under Construction),Non-landed private residential units under construction. Higher levels increase near-term completions and sales absorption requirements.,Units,Q
prp_pipeline_total_non_landed,Private Residential (Non-Landed) Pipeline (Total),Total non-landed private residential pipeline across stages. Tracks future supply and potential inventory overhang if take-up slows.,Units,Q
private_vacant_private_sector_business_park_space_vacant,Business Park Vacant Space (Private Sector),Amount of private-sector business park space that is vacant. Higher vacancy typically signals weaker leasing demand and downside risk to rents and asset values.,K Sqm Nett,Q
private_vacant_private_sector_multiple_user_factory_space_vacant,Multiple-User Factory Vacant Space (Private Sector),Amount of private-sector multiple-user factory space that is vacant. Rising vacancy can indicate softer industrial demand and pressure on rents.,K Sqm Nett,Q
private_vacant_private_sector_office_space_vacant,Office Vacant Space (Private Sector),"Amount of private-sector office space that is vacant. Higher vacancy can weigh on rents, incentives, and valuation assumptions for commercial assets.",K Sqm Nett,Q
private_vacant_private_sector_retail_space_vacant,Retail Vacant Space  (Private Sector),Amount of private-sector retail space that is vacant. Higher vacancy can signal weak tenant demand and greater downside risk to rents and income.,K Sqm Nett,Q
construction_material_cement_in_bulk_ordinary_portland_cement,Construction Material Price: Ordinary Portland Cement (Bulk),"Tracks cement prices. Sustained increases raise construction costs and can compress development margins, especially for projects without cost pass-through.",$/Tonne,M
construction_material_concreting_sand,Construction Material Price: Concreting Sand,Tracks concreting sand prices. Rising costs can lift project costs and increase budget and tender risks.,$/Tonne,M
construction_material_steel_reinforcement_bars_16_32mm_high_tensile,"Construction Material Price: Steel Reinforcement Bars (16Â–32mm, High Tensile)",Tracks rebar prices. Higher steel costs can materially increase structural costs and pressure margins for ongoing and future builds.,$/Tonne,M
construction_material_granite_20mm_aggregate,Construction Material Price: Granite Aggregate (20mm),Tracks aggregate prices. Increases raise concreting costs and can contribute to construction cost inflation.,$/Tonne,M
construction_material_ready_mixed_concrete,Construction Material Price: Ready-Mixed Concrete,Tracks ready-mixed concrete prices. Higher prices raise direct build costs and can reduce profitability if selling prices do not adjust.,$/Tonne,M
unit_labour_cost_construction,Construction Unit Labour Cost,Measures labour cost per unit of construction output. Persistent increases raise overall construction costs and can squeeze margins and delay project timelines.,Index,M
demand_construction_materials_cement,Construction Materials Demand: Cement,"Measures demand for cement. Strong demand can indicate a heated construction cycle, potential capacity constraints, and upward pressure on input costs.",K Tonnes,M
demand_construction_materials_granite,Construction Materials Demand: Granite,Measures demand for granite aggregate. Higher demand can signal stronger construction activity and potential cost pressure from supply tightness.,K Tonnes,M
demand_construction_materials_ready_mixed_concrete,Construction Materials Demand: Ready-Mixed Concrete,Measures demand for ready-mixed concrete. Rising demand can coincide with tighter capacity and higher concreting costs.,K Tonnes,M
demand_construction_materials_steel_reinforcement_bars,Construction Materials Demand: Steel Reinforcement Bars,Measures demand for reinforcing steel. Strong demand can signal a busy construction pipeline and possible upward pressure on steel-related costs.,K Tonnes,M
sgs_10y,Singapore Government Securities (SGS) 10-Year Yield,"Long-term risk-free yield benchmark. Higher yields raise discount rates and borrowing costs, which can pressure valuations and refinancing conditions.",%,M
sgs_2y,Singapore Government Securities (SGS) 2-Year Yield,Shorter-term risk-free yield benchmark. Higher yields typically translate into higher floating/short-tenor funding costs and tighter affordability for leveraged borrowers.,%,M
term_spread_10y_2y,Yield Curve Slope (10-Year minus 2-Year),Measures the steepness of the yield curve. A flatter or inverted curve often coincides with tighter credit conditions and weaker growth expectations.,pp,M
sora_overnight,Singapore Overnight Rate Average (SORA),Key overnight interest rate benchmark. Higher rates increase debt servicing costs and can raise refinancing risk for leveraged developers.,%,M
loan_bc_construction,Bank Loans to Building & Construction (Construction),Outstanding bank loans to the construction segment within building & construction. Slowing growth or contraction can signal tighter credit supply or weaker borrowing demand.,S$M,M
loan_bc_real_property,Bank Loans to Building & Construction (Real Property),Outstanding bank loans to the real property segment within building & construction. Useful for tracking credit conditions facing property-related borrowers.,S$M,M
loan_bc_total,Bank Loans to Building & Construction (Total),Total outstanding bank loans to building & construction. Indicates overall credit exposure and whether lending to the sector is expanding or tightening.,S$M,M
loan_limits_granted_building_construction,Loan Limits Granted to Building & Construction,Total credit limits granted by banks to the building & construction sector. A decline can indicate reduced bank risk appetite or tighter underwriting.,S$M,M
loan_limits_utilised_building_construction,Utilisation Rate of Loan Limits (Building & Construction),Share of granted credit limits that is utilised. Rising utilisation can indicate tighter liquidity buffers and less headroom if conditions worsen.,%,M
construction_gdp,Construction Sector GDP Growth (SA),"Growth in construction sector output. Weakening growth can signal softer sector momentum, project delays, or a downturn in construction activity.",%,Q
